Artikelnummer;Bezeichnung1;Bezeichnung2;EANNummer;Gewicht;GewichtLME;USER_AABreite;USER_AAHoehe;USER_AATiefe;USER_AFBreite;USER_AFGewicht;USER_AFHoehe;USER_AFLaenge;USER_AFVolumen;USER_AI;USER_AIBreite;USER_AIHoehe;USER_AILaenge;USER_EANNummerVerp;USER_EANNummerVerp2;USER_Farbe;USER_GewVE1;USER_GewVE2;USER_MatZusammensetzung;USER_Material;USER_PHArtikel115Pal;USER_ULBreite;USER_ULGewicht;USER_ULHoehe;USER_ULLaenge;Verkaufsmengeneinheit;Warennummer;FEFCO_Code
211202225;"Universalverpackung, A3, 456x320x70mm";"braun, 25 St. geb., ECOline ";4250414141646;0.206;0.206;32.5;7.5;49.6;50;5.15;7.5;96;25;;32;7;45.6;;;;;;"115 TL braun / 70 WS / 115 TL braun ";1.02e;850;;;;;Stck.;48191000;
211614620;"ORDNERVERSANDVERPACKUNG, 320x285x35-80mm,";"sk m. Aufreißfaden, weiß, 20er gebündelt";4250414107802;0.179;0.179;37;9;29.7;37;3.58;7.5;78;20;;29;8;32;4250414108922;;weiß;;;"135 TL weiß / 115 WS / 115 TL ";"1.20b weiß Q1";840;;;;;Stck.;48191000;
212022010;"Transportkarton ""Lebende Tiere"", 320x197x230mm";"braun, 10 St. geb., Klein";4250414142308;0.327;0.327;;;;40;3.27;5.5;52.5;10;;;;;4250414142629;;;;;"175KL / 135WS / 140KLS";"1.40b N1";560;;;;;Stck.;48191000;"Fefco 0499"
212022110;"Transportkarton ""Lebende Tiere"", 477x233x295mm";"braun, 10 St. geb., Mittel";4250414142315;0.54;0.54;;;;50;5.4;5.5;72;10;;;;;4250414142636;;;;;"175KL / 135WS / 140KLS";"1.40b N1";260;;;;;Stck.;48191000;"Fefco 0499"
212022210;"Transportkarton ""Lebende Tiere"", 580x309x369mm";"braun, 10 St. geb., Groß";4250414142322;0.846;0.846;;;;61.5;8.46;5.5;90;10;;;;;4250414142643;;;;;"175KL / 135WS / 140KLS";"1.40b N1";260;;;;;Stck.;48191000;"Fefco 0499"
212100320;"ORDNERVERSANDBOX 50-80B, 320x288x50-80mm";"braun, VE 20 Stück";4250414145514;0.149;0;;;;59;2.64;4.5;83;20;;;;;4250414145521;;schwarz;3;;"140 KLS braun / 115 WS / 135 TL braun";"1.30b KLS N7";880;;;;;Stck.;;Stanzverpackung
212100410;"ORDNER VERSANDKARTON für 4-5 Ordner";"10er gebündelt";4250414112844;0.342;0.316;33;33;29.5;62.1;3.16;4.5;62.3;20;;29;32.5;32.5;4250414112851;;braun;3;;"140 KLS / 115 WS / 135 TL";"1.30b KLS N7";440;;3.16;;;Stck.;48191000;
212101010;"Automatikbodenkarton, A4+, 320x220x80-190mm";"braun, var. Höhe, wiederverschließbar, 10 St. geb.";4250414110338;0.212;0.212;22.5;18.7;33.7;31;2.12;10;54.7;10;;22;18;33;4250414110345;;braun;;;"140 KLS / 115 WS / 135 TL";"1.30b KLS N7";720;;;;;Stck.;48191000;"Fefco 0711"
212101020;"Mail-Box XS, 247x146x42mm";"braun, wiederverschließbar, 20 St. geb.";4250414104382;0.066;0.066;15.4;4.7;25;25;1.32;16;26;20;;14.6;4.2;24.7;4250414104399;;braun;1400;;"120 KLS / 80 WS / 115 TL";"1.20b KLS N2";1440;;;;;Stck.;48191000;
212101110;"Automatikbodenkarton, 390x280x100-240mm";"braun, var. Höhe, wiederverschließbar, 10 St. geb.";4250414110369;0.326;0.326;28.6;24.6;39.6;38.8;3.26;10;67.8;10;;28;24;39;4250414143541;;braun;;;"140 KLS / 115 WS / 135 TL";"1.30b KLS N7";520;;;;;Stck.;48191000;"Fefco 0711"
212101120;"Mail-Box S, 249x175x79mm";"braun, wiederverschließbar, 20 St. geb.";4250414104405;0.142;0.121;25.5;8.5;18.5;25;2.84;16;38;20;;17.5;7.9;24.9;4250414104412;;braun;2500;;"120 KLS / 80 WS / 115 TL";"1.20b KLS N2";1080;;;;;Stck.;48191000;
212101210;"Automatikbodenkarton, 475x310x155-310mm";"braun, var. Höhe, wiederverschließbar, 10 St. geb.";4250414110390;0.457;0.457;31.5;31;48;47.2;4.57;10;79.1;10;;31;30;47.5;4250414110406;;braun;;;"140 KLS / 115 WS / 135 TL";"1.30 b KLS N7";240;;;;;Stck.;48191000;
212101220;"Mail-Box M, 331x241x104mm";"braun, wiederverschließbar, 20 St. geb.";4250414104429;0.201;0.201;33.6;11;25.1;33.5;4.02;16;49;20;;24.1;10.4;33.1;4250414104436;;braun;;;"120 KLS / 80 WS / 115 TL";"1.20b KLS N2";480;;;;;Stck.;48191000;
